,load_forecast,coal_power_available,gas_power_available,nucelear_power_available,wind_power_forecasts_average,wind_power_forecasts_std,solar_power_forecasts_std,predicted_spot_price,hour,day_of_week,is_workday,total_power_available_sp,power_to_load_ratio,predicted_spot_price_lag_1,predicted_spot_price_lag_7,predicted_spot_price_lag_30,predicted_spot_price_ma_7d,predicted_spot_price_std_7d,predicted_spot_price_range_7d,predicted_spot_price_ema_7d,predicted_spot_price_pct_change,predicted_spot_price_momentum_7d,predicted_spot_price_diff
0,49439.0,3386.0,11487.0,44118.0,3035.0,79.24834795498744,0.0,224.49980966937477,1,5,0,58991.0,1.1932077914197294,185.43374250228976,181.26580374851034,173.5459248611223,187.48216979538122,9.116417260792566,21.063531130372958,224.49980966937477,0.0,0.0,0.0
1,46511.0,3386.0,11487.0,44118.0,3143.0,61.77653170323712,0.0,202.93144190399644,2,5,0,58991.0,1.268323622368902,224.49980966937477,269.0596687703689,243.72154761783037,250.48971705033748,2.8802960217592153,9.914361165740207,219.10771772803017,-0.09607298909136042,0.0,-21.568367765378326
2,45158.0,3386.0,11487.0,44118.0,3288.0,44.29111213752825,0.0,202.93144190399644,3,5,0,58991.0,1.3063244607821427,202.93144190399644,211.63253591960293,189.6606705738549,198.56943133873548,4.927994488325249,14.954349365859814,215.06364877202174,0.0,0.0,0.0
3,44779.0,3386.0,11487.0,44118.0,3447.0,36.12758799558981,0.0,199.26065113533699,4,5,0,58991.0,1.3173809151611247,202.93144190399644,231.9542279422816,224.89819506713366,217.1114664440248,11.106114010694373,27.393379756022007,211.11289936285056,-0.01808882218653951,0.0,-3.670790768659458
4,45284.0,3386.0,11487.0,44118.0,3679.0,30.98302297094805,0.0,199.98567210844007,5,5,0,58991.0,1.302689691723346,199.26065113533699,203.22473610585726,213.78611841077105,209.9092011367703,5.7136715572038135,15.222158709484635,208.33109254924793,0.003638555675554045,0.0,0.725020973103085
5,45648.0,3386.0,11487.0,44118.0,3902.0,27.62405175375482,0.0,202.00218485973235,6,5,0,58991.0,1.292301962846127,199.98567210844007,180.34639020578814,176.69531737358247,184.61994582571398,5.016580989205766,12.566454130094671,206.74886562686902,0.010083286117611667,0.0,2.0165127512922822
6,45909.0,3386.0,11487.0,44118.0,4092.0,44.94470095340352,6.1953492993677495,199.0503065818568,7,5,0,58991.0,1.2849550197129103,202.00218485973235,190.5144747355351,222.46228718995764,204.3802154518191,9.02386529442233,25.449503087517968,204.82422586561597,-0.014613100744060303,0.0,-2.951878277875551
7,47091.0,3386.0,11487.0,44118.0,4315.0,30.505330081784955,23.23995671758656,196.66811109636782,8,5,0,58991.0,1.252702214860589,199.0503065818568,224.49980966937477,200.90621216543377,200.40425851281813,2.33101251805666,6.26333080762862,202.78519717330394,-0.01196780616114923,-27.831698573006946,-2.382195485488978
8,48300.0,3386.0,11487.0,44118.0,4436.0,35.83590962010974,44.45015384079769,194.39897554971728,9,5,0,58991.0,1.2213457556935818,196.66811109636782,202.93144190399644,211.91761583237698,199.18533474792113,2.9404664515987986,8.532466354279165,200.6886417674073,-0.011537892615131051,-8.532466354279165,-2.2691355466505456
9,49559.0,3386.0,11487.0,44118.0,4459.0,57.67094509800192,53.42648880361061,194.39897554971728,10,5,0,58991.0,1.1903186101414476,194.39897554971728,202.93144190399644,217.99873083422216,197.9664109830241,2.8969393980223606,7.603209310015075,199.1162252129848,0.0,-8.532466354279165,0.0
10,51367.0,3386.0,11487.0,44118.0,4135.0,85.92893020253233,40.55823699614286,194.39897554971728,11,5,0,58991.0,1.1484221387271984,194.39897554971728,199.26065113533699,200.68678189035597,197.27188589936415,3.1098909308583216,7.603209310015075,197.93691279716793,0.0,-4.861675585619707,0.0
11,50054.0,3386.0,11487.0,44118.0,3570.0,64.74214818519671,22.229253381127087,200.49685403233295,12,5,0,58991.0,1.178547169057418,194.39897554971728,199.98567210844007,196.97560833457092,197.34491188849165,3.189226236238873,7.603209310015075,198.5768981059592,0.03136785297027522,0.5111819238928774,6.09787848261567
12,47679.0,3386.0,11487.0,44118.0,3411.0,43.2179459214943,13.812292053265669,200.49685403233295,13,5,0,58991.0,1.237253298097695,200.49685403233295,202.00218485973235,200.87756617700646,197.1298646274346,2.856215864669635,6.09787848261567,199.05688708755264,0.0,-1.5053308273994048,0.0
13,46322.0,3386.0,11487.0,44118.0,3233.0,170.99891394809652,40.17696149902488,200.49685403233295,14,5,0,58991.0,1.2734985536030397,200.49685403233295,199.0503065818568,192.91804317834993,197.33651426321694,3.0631521412360243,6.09787848261567,199.4168788237477,0.0,1.446547450476146,0.0
14,46171.0,3386.0,11487.0,44926.0,3263.0,157.4138313037146,23.668224985190268,200.49685403233295,15,5,0,59799.0,1.2951636308505339,200.49685403233295,196.66811109636782,196.80106241556467,197.88347753978337,3.2594531525898924,6.09787848261567,199.686872625894,0.0,3.828742935965124,0.0
15,49193.0,3386.0,11487.0,44926.0,3717.0,143.2432496539665,6.366007415968655,200.49685403233295,16,5,0,59799.0,1.215599780456569,200.49685403233295,194.39897554971728,191.15511808621667,198.7546030372999,2.975460028008026,6.09787848261567,199.88936797750375,0.0,6.09787848261567,0.0
16,53817.0,3386.0,11487.0,45033.0,4215.0,191.07250348310612,0.0,207.25609558532918,17,5,0,59906.0,1.1131426872549566,200.49685403233295,194.39897554971728,192.850867230063,200.59133447095874,3.7150366190999096,12.8571200356119,201.7310498794601,0.03371245691419289,12.8571200356119,6.7592415529962295
17,55236.0,3386.0,11487.0,45033.0,4563.0,211.52473681750345,0.0,207.25609558532918,18,5,0,59906.0,1.08454631037729,207.25609558532918,194.39897554971728,202.09130123125126,202.4280659046176,3.2981721623229405,6.7592415529962295,203.11231130592736,0.0,12.8571200356119,0.0
18,54017.0,3386.0,11487.0,44416.0,4764.0,203.5945005026429,0.0,207.25609558532918,19,5,0,59289.0,1.0975989040487255,207.25609558532918,200.49685403233295,177.5573750332351,203.3936718407599,3.6129665836797127,6.7592415529962295,204.1482573757778,0.0,6.7592415529962295,0.0
19,52169.0,3386.0,11487.0,44416.0,4897.0,207.0812508278924,0.0,207.25609558532918,20,5,0,59289.0,1.136479518487991,207.25609558532918,200.49685403233295,183.64592580833713,204.35927777690222,3.612966583679704,6.7592415529962295,204.92521692816564,0.0,6.7592415529962295,0.0
20,52946.0,3386.0,11487.0,44416.0,5070.0,255.5697696185078,0.0,207.25609558532918,21,5,0,59289.0,1.1198013069920296,207.25609558532918,200.49685403233295,215.23852164646092,205.32488371304453,3.2981721623229148,6.7592415529962295,205.50793659245653,0.0,6.7592415529962295,0.0
21,53610.0,3386.0,11487.0,44416.0,5302.0,329.4531243001206,0.0,207.25609558532918,22,5,0,59289.0,1.1059317291550084,207.25609558532918,200.49685403233295,211.90577045928205,206.29048964918687,2.5547531715203147,6.7592415529962295,205.94497634067469,0.0,6.7592415529962295,0.0
22,52698.0,2226.0,11487.0,43501.0,5611.0,101.46426332470986,0.0,207.25609558532918,23,5,0,57214.0,1.0856958518349842,207.25609558532918,200.49685403233295,192.7130063130108,207.25609558532918,0.0,0.0,206.2727561518383,0.0,6.7592415529962295,0.0
